human betaherpesvirus 5 infectious disease;disease has infectious agent;Human betaherpesvirus 5
black piedra;disease has infectious agent;Piedraia hortae
Pediculus humanus capitis infestation;disease has infectious agent;Pediculus humanus capitis
Rift valley fever;disease has infectious agent;Rift Valley fever virus
demodicidosis;disease has infectious agent;Demodex
botulism;disease has infectious agent;Clostridium botulinum
Treponema infectious disease;disease has infectious agent;Treponema
Brucella canis brucellosis;disease has infectious agent;Brucella canis
isosporiasis;disease has infectious agent;Cystoisospora belli
pertussis;disease has infectious agent;Bordetella pertussis
Aeromonas hydrophila infectious disease;disease has infectious agent;Aeromonas hydrophila
allescheriosis;disease has infectious agent;Scedosporium boydii
cowpox;disease has infectious agent;Cowpox virus
toxascariasis;disease has infectious agent;Toxascaris
scrub typhus;disease has infectious agent;Orientia tsutsugamushi
typhus;disease has infectious agent;Rickettsia
porcine postweaning multisystemic wasting syndrome;disease has infectious agent;Porcine circovirus 2
boutonneuse fever;disease has infectious agent;Rickettsia conorii subsp. conorii
rabies;disease has infectious agent;Lyssavirus rabies
schistosomiasis;disease has infectious agent;Schistosoma
actinobacillosis;disease has infectious agent;Actinobacillus ureae
Pthirus pubis infestation;disease has infectious agent;Pthirus pubis
bordetellosis;disease has infectious agent;Bordetella
Neorickettsia infectious disease;disease has infectious agent;Neorickettsia
cepacia syndrome;disease has infectious agent;Burkholderia cepacia complex
rickettsialpox;disease has infectious agent;Rickettsia akari
Erysipelothrix rhusiopathiae infectious disease;disease has infectious agent;Erysipelothrix rhusiopathiae
Ascaridida infectious disease;disease has infectious agent;Ascaridomorpha
congenital varicella syndrome;disease has infectious agent;Human alphaherpesvirus 3
herpes zoster;disease has infectious agent;Human alphaherpesvirus 3
Omsk hemorrhagic fever;disease has infectious agent;Omsk hemorrhagic fever virus
cryptococcosis;disease has infectious agent;Cryptococcus neoformans
cryptococcosis;disease has infectious agent;Cryptococcus bacillisporus
tick-borne encephalitis;disease has infectious agent;Tick-borne encephalitis virus
infectious disease;disease has infectious agent;root
borna disease;disease has infectious agent;Borna disease virus
trench fever;disease has infectious agent;Bartonella quintana
chickenpox;disease has infectious agent;Human alphaherpesvirus 3
Pasteurella multocida infectious disease;disease has infectious agent;Pasteurella multocida
sparganosis;disease has infectious agent;Spirometra
Rickettsiaceae infectious disease;disease has infectious agent;Rickettsiaceae
Helicobacter pylori infectious disease;disease has infectious agent;Helicobacter pylori
tetanus;disease has infectious agent;Clostridium tetani
Zygomycosis;disease has infectious agent;Mucoromycotina
acanthocephaliasis;disease has infectious agent;Acanthocephala <thorny-headed worms>
wound botulism;disease has infectious agent;Clostridium botulinum A
wound botulism;disease has infectious agent;Clostridium botulinum B
wound botulism;disease has infectious agent;Clostridium botulinum E
wound botulism;disease has infectious agent;Clostridium botulinum F
Indian tick typhus;disease has infectious agent;Rickettsia conorii subsp. indica
hypodermyiasis;disease has infectious agent;Oestridae
rhinosporidiosis;disease has infectious agent;Rhinosporidium seeberi
mumps infectious disease;disease has infectious agent;Mumps orthorubulavirus
mycobacterial infectious disease;disease has infectious agent;Mycobacterium
fetal parvovirus syndrome;disease has infectious agent;Human parvovirus B19
Parvoviridae infectious disease;disease has infectious agent;Parvoviridae
basidiobolomycosis;disease has infectious agent;Basidiobolus
West Nile fever;disease has infectious agent;West Nile virus
epidemic pleurodynia;disease has infectious agent;Enterovirus B
molluscum contagiosum;disease has infectious agent;Molluscum contagiosum virus
Borrelia infectious disease;disease has infectious agent;Borrelia
Flinders island spotted fever;disease has infectious agent;Rickettsia honei
mesocestoidiasis;disease has infectious agent;Mesocestoides
pasteurellosis;disease has infectious agent;Pasteurella
anthrax infection;disease has infectious agent;Bacillus anthracis
fallopian tube;develops from;Mullerian duct
humerus;develops from;humerus cartilage element
head mesenchyme from mesoderm;develops from;mesoderm
head mesenchyme from mesoderm;develops from;prechordal plate
adrenal/interrenal gland;develops from;intermediate mesoderm
sphenoid bone;develops from;sphenoid cartilage element
class switched memory B cell;develops from;unswitched memory B cell
laryngeal pre-cartilage condensation;develops from;laryngeal associated mesenchyme
intrinsic muscle of tongue;develops from;hypoglossal cord
lymphocyte of B lineage;develops from;pro-B cell
lens anterior epithelium;develops from;ectoderm
oligodendrocyte precursor cell;develops from;glioblast (sensu Vertebrata)
blood island;develops from;lateral plate mesoderm
ependyma;develops from;neural tube ventricular layer
connecting stalk;develops from;extraembryonic mesoderm
metanephric mesenchyme;develops from;mesonephric duct
mammary gland connective tissue;develops from;mesenchyme of mammary gland
nucleus pulposus;develops from;notochord
fraction C' precursor B cell;develops from;fraction C precursor B cell
coelemic cavity lumen;develops from;future coelemic cavity lumen
distal mesopodial cartilage element;develops from;distal mesopodial pre-cartilage condensation
midbrain-hindbrain boundary;develops from;midbrain hindbrain boundary neural plate
extra-ocular muscle;develops from;extrinsic ocular pre-muscle mass
falx cerebri;develops from;future falx cerebri
inferior vagus X ganglion;develops from;nodosal placode
inferior vagus X ganglion;develops from;mesenchyme from rhombencephalic neural crest
dermis;develops from;future dermis
tooth enamel organ;develops from;ectoderm
lens nucleus;develops from;lens anterior epithelium
primitive urogenital sinus;develops from;intermediate mesoderm
future upper lip;develops from;medial nasal prominence
future upper lip;develops from;maxillary prominence
pectoral appendage bud mesenchyme;develops from;pectoral appendage field
coccyx;develops from;embryonic post-anal tail
tongue;develops from;pharyngeal arch system
tongue;develops from;future tongue
lymphocyte;develops from;common lymphoid progenitor
cerebellum;develops from;rhombic lip
bony otic capsule;develops from;cartilaginous otic capsule
labium majora;develops from;female labial swelling
metatarsus skeleton;develops from;pedal digit metatarsal cartilage element
endoderm of foregut;develops from;endoderm
trachea;develops from;respiratory primordium
extraembryonic mesoderm;develops from;lateral plate mesoderm
extraembryonic mesoderm;develops from;inner cell mass derived epiblast
atrioventricular septum;develops from;endocardial cushion
upper leg epithelium;develops from;pelvic appendage bud ectoderm
primitive nephron;develops from;renal vesicle
sigmoid colon;develops from;hindgut
spleen;develops from;spleen primordium
trachea connective tissue;develops from;mesenchyme of trachea
rib cartilage element;develops from;rib pre-cartilage condensation
vertebra cartilage element;develops from;vertebra pre-cartilage condensation
enamel;develops from;pre-enamel
endocrine pancreas;develops from;dorsal pancreatic bud
median lingual swelling;develops from;pharyngeal arch 1
central canal of spinal cord;develops from;neural tube
mesonephros;develops from;pronephros
presumptive hindbrain;develops from;posterior neural tube
medulla oblongata sulcus limitans;develops from;myelencephalon sulcus limitans
mesenchyme of sublingual gland primordium;develops from;mesenchyme of lower jaw
optic stalk;develops from;optic cup
urogenital sinus epithelium;develops from;embryonic cloacal epithelium
tarsal bone;develops from;tarsus cartilage element
enveloping layer of ectoderm;develops from;external ectoderm
glans penis;develops from;future glans penis
trophectoderm;develops from;morula
corneal primordium;develops from;neural crest
scrotum;develops from;male genital swelling
eye primordium;develops from;pre-chordal neural plate
main bronchus;develops from;respiratory primordium
basophil progenitor cell;develops from;basophil mast progenitor cell
endo-epithelial cell;develops from;endodermal cell
pericardial cavity;develops from;intraembryonic coelom
trophoblast;develops from;trophectoderm
exocrine pancreas;develops from;ventral pancreatic bud
radius-ulna cartilage element;develops from;radius-ulna pre-cartilage condensation
endoderm of midgut;develops from;endoderm
ankle connective tissue;develops from;mesenchyme of tarsal region
nephron tubule;develops from;kidney mesenchyme
sacral vertebra cartilage element;develops from;sacral vertebra pre-cartilage condensation
epithelium of handplate;develops from;pectoral appendage bud ectoderm
pleuroperitoneal canal lumen;develops from;coelemic cavity lumen
paraxial mesoderm;develops from;presumptive paraxial mesoderm
pronephric duct;develops from;intermediate mesoderm
pronephric duct;develops from;pronephric mesoderm
endothelial cell of lymphatic vessel;develops from;vascular lymphangioblast
dorsal pancreatic bud;develops from;midgut
skin of body;develops from;embryonic skin basal layer
elbow connective tissue;develops from;mesenchyme of elbow
sperm;develops from;spermatid
metacarpus skeleton;develops from;manual digit metacarpus cartilage element
hepatic flexure of colon;develops from;midgut
periodontal ligament;develops from;neural crest
periodontal ligament;develops from;dental follicle
tubotympanic recess epithelium;develops from;pharyngeal pouch 1
comma-shaped body;develops from;renal vesicle
1st arch mandibular endoderm;develops from;pharyngeal pouch 1
1st arch mandibular endoderm;develops from;early pharyngeal endoderm
cartilaginous neurocranium;develops from;head paraxial mesoderm
bilaminar disc;develops from;inner cell mass
future trigeminal ganglion;develops from;trigeminal placode complex
future trigeminal ganglion;develops from;trigeminal neural crest
chorionic mesenchyme;develops from;extraembryonic mesoderm
DN3 thymocyte;develops from;DN2 thymocyte
embryonic handplate;develops from;forelimb bud
iris;develops from;optic vesicle
cerebellar vermis;develops from;cerebellar plate
fraction F mature B cell;develops from;fraction E immature B cell
pancreas primordium;develops from;endoderm
kidney rudiment;develops from;kidney field
secondary spermatocyte;develops from;primary spermatocyte
vertebra;develops from;vertebra cartilage element
skeletal muscle myoblast;develops from;multi-potent skeletal muscle stem cell
myeloid dendritic cell;develops from;myeloid cell
thyroid gland;develops from;thyroid diverticulum
major vestibular gland;develops from;primitive urogenital sinus
early pharyngeal endoderm;develops from;endoderm
cardiac atrium;develops from;future cardiac atrium
latissimus dorsi muscle;develops from;latissimus dorsi pre-muscle mass
endothelium;develops from;mesoderm
proximal convoluted tubule;develops from;metanephric mesenchyme
clavicle cartilage element;develops from;clavicle pre-cartilage condensation
epithelium of carpal region;develops from;pectoral appendage bud ectoderm
thyroid primordium;develops from;pharyngeal pouch 2
hindgut;develops from;mesenchyme
macroglial cell;develops from;glioblast (sensu Vertebrata)
sebaceous gland;develops from;sebaceous gland placode
hypodermis;develops from;mesoderm
ovary;develops from;indifferent gonad
ascending colon;develops from;midgut
dental follicle;develops from;neural crest
mature alpha-beta T cell;develops from;immature alpha-beta T cell
kidney;develops from;kidney mesenchyme
kidney;develops from;kidney rudiment
radius pre-cartilage condensation;develops from;radius-ulna pre-cartilage condensation
primitive renal collecting duct system;develops from;ureteric bud
lower digestive tract;develops from;hindgut
eyelid connective tissue;develops from;eyelid mesenchyme
tunica vaginalis testis;develops from;peritoneal vaginal process
phalanx of pes;develops from;pedal digit phalanx cartilage element
head connective tissue;develops from;head mesenchyme
conjunctiva;develops from;external ectoderm
diaphragm;develops from;future diaphragm
lumbar vertebra cartilage element;develops from;lumbar vertebra pre-cartilage condensation
auditory meatus epithelium;develops from;1st arch pharyngeal cleft
megakaryocyte progenitor cell;develops from;megakaryocyte-erythroid progenitor cell
ureter;develops from;ureter ureteric bud
endolymphatic sac;develops from;endolymphatic appendage
auditory ossicle bone;develops from;cranial neural crest
olfactory nerve;develops from;olfactory placode
metencephalon;develops from;future metencephalon
levator scapulae muscle;develops from;levator scapulae pre-muscle mass
hepatic diverticulum;develops from;liver primordium
scapula;develops from;scapulocoracoid
scapula;develops from;scapula cartilage element
migratory neural crest cell;develops from;premigratory neural crest cell
fundus of urinary bladder;develops from;urorectal septum
fundus of urinary bladder;develops from;urogenital sinus mesenchyme
lumen of oropharynx;develops from;oronasal cavity
leukocyte;develops from;hematopoietic stem cell
femur;develops from;femur cartilage element
internal ear;develops from;ear vesicle
mixed endoderm/mesoderm-derived structure;develops from;endoderm
mixed endoderm/mesoderm-derived structure;develops from;mesoderm
distal tarsal cartilage;develops from;distal tarsal bone pre-cartilage condensation
proximal carpal cartilage;develops from;proximal carpal bone pre-cartilage condensation
midbrain tegmentum;develops from;midbrain basal plate
ecto-epithelial cell;develops from;ectodermal cell
femur cartilage element;develops from;femur pre-cartilage condensation
pelvic girdle skeleton;develops from;mesenchyme from somatopleure
thyroid follicle epithelium;develops from;thyroid diverticulum
endocardium;develops from;presumptive endocardium
meninx of hindbrain;develops from;future hindbrain meninx
type II pneumocyte;develops from;fetal pre-type II pneumocyte
blastocyst;develops from;morula
anal canal;develops from;embryonic skin basal layer
metanephric nephron tubule;develops from;metanephric mesenchyme
neurogenic placode;develops from;preplacodal ectoderm
spinal cord neural plate;develops from;future spinal cord
hepatocyte;develops from;hepatoblast
mammary gland cord;develops from;mammary bud
hyaloid vein;develops from;ophthalmic vein
transverse colon;develops from;midgut
head somite;develops from;head paraxial mesoderm
caecum;develops from;midgut
lacrimal gland;develops from;lacrimal gland bud
corneocyte;develops from;keratinocyte
superior mesenteric vein;develops from;vitelline vein
oronasal membrane;develops from;nasal fin
heart left ventricle;develops from;primary heart field
transformed artery;develops from;artery
secondary palatal shelf;develops from;maxillary prominence
stroma of thyroid gland;develops from;neural crest
nervous system;develops from;future nervous system
renal vesicle;develops from;nephrogenic mesenchyme
dura mater;develops from;ectomeninx
vasculature of eye;develops from;eye mesenchyme
limb cartilage element;develops from;limb bone pre-cartilage condensation
liver;develops from;liver primordium
sclerosteosis;disease has feature;Increased bone mineral density
hereditary spastic paraplegia;disease has feature;Spasticity
hereditary spastic paraplegia;disease has feature;Paraplegia
Duane retraction syndrome;disease has feature;Strabismus
maple syrup urine disease;disease has feature;Seizure
maple syrup urine disease;disease has feature;Hypertonia
autosomal recessive cerebral atrophy;disease has feature;Cerebral atrophy
Steel syndrome;disease has feature;Abnormality of bone mineral density
hypotonic cerebral palsy;disease has feature;Hypotonia
mitochondrial DNA depletion syndrome 4a;disease has feature;Cerebral degeneration
hormone-resistant breast carcinoma;disease has feature;Hormone Resistance
Timothy syndrome;disease has feature;Syncope
Timothy syndrome;disease has feature;Tachycardia
Timothy syndrome;disease has feature;Ventricular fibrillation
Timothy syndrome;disease has feature;ventricular fibrillation
Timothy syndrome;disease has feature;heart conduction disease
Williams syndrome;disease has feature;Supravalvular aortic stenosis
Williams syndrome;disease has feature;supravalvular aortic stenosis
congenital fibrosis of extraocular muscles;disease has feature;Strabismus
dracunculiasis;disease has feature;Vomiting
sleep apnea syndrome;disease has feature;Sleep apnea
aortic valve stenosis;disease has feature;Aortic valve stenosis
synovitis;disease has feature;arthritic joint disease
trisomy 13;disease has feature;Strabismus
granulomatosis with polyangiitis;disease has feature;Vasculitis
granulomatosis with polyangiitis;disease has feature;Autoimmunity
Trichomonas vaginitis urogenital infection;disease has feature;vaginal discharge
malignant mesothelioma;disease has feature;Wheezing
Legg-Calve-Perthes disease;disease has feature;Avascular necrosis
Legg-Calve-Perthes disease;disease has feature;osteonecrosis
DNA ligase IV deficiency;disease has feature;Growth delay
DNA ligase IV deficiency;disease has feature;Immunodeficiency
Aagenaes syndrome;disease has feature;Lymphedema
Aagenaes syndrome;disease has feature;Cirrhosis
Aagenaes syndrome;disease has feature;Cholestasis
Apert syndrome;disease has feature;Strabismus
Cole-Carpenter syndrome;disease has feature;Reduced bone mineral density
tabes dorsalis;disease has feature;Impotence
tabes dorsalis;disease has feature;Gait ataxia
tabes dorsalis;disease has feature;Paresthesia
tabes dorsalis;disease has feature;Hyperesthesia
trisomy 18;disease has feature;Distichiasis
parasitemia;disease has feature;Sepsis
enterobiasis;disease has feature;Constipation
enterobiasis;disease has feature;Abdominal pain
enterobiasis;disease has feature;constipation disorder
meningovascular neurosyphilis;disease has feature;Blurred vision
meningovascular neurosyphilis;disease has feature;Muscle weakness
meningovascular neurosyphilis;disease has feature;Abnormal thrombosis
meningovascular neurosyphilis;disease has feature;Memory impairment
meningovascular neurosyphilis;disease has feature;Bowel incontinence
meningovascular neurosyphilis;disease has feature;Paralysis
meningovascular neurosyphilis;disease has feature;Slowly progressive
meningovascular neurosyphilis;disease has feature;insomnia
chronic rhinitis;disease has feature;Chronic rhinitis
Beemer-Langer syndrome;disease has feature;Hydrops fetalis
Beemer-Langer syndrome;disease has feature;Polydactyly
Kallmann syndrome;disease has feature;Infertility
Kallmann syndrome;disease has feature;Osteoporosis
salmonellosis;disease has feature;Vomiting
salmonellosis;disease has feature;Abdominal pain
salmonellosis;disease has feature;dysentery
ACTH-producing pituitary gland carcinoma;disease has feature;Abnormal circulating adrenocorticotropin concentration
ghosal hematodiaphyseal dysplasia;disease has feature;Increased bone mineral density
familial renal glucosuria;disease has feature;Glycosuria
porencephaly;disease has feature;structural epilepsy
Barre-Lieou syndrome;disease has feature;Vertigo
Barre-Lieou syndrome;disease has feature;Allergy
Barre-Lieou syndrome;disease has feature;Chronic pain
adult-onset Still disease;disease has feature;pharyngitis
adult-onset Still disease;disease has feature;hemophagocytic syndrome
multiple self-healing squamous epithelioma;disease has feature;keratoacanthoma
multiple self-healing squamous epithelioma;disease has feature;benign tumor of palpebral epidermis
croup;disease has feature;Stridor
croup;disease has feature;Cough
dysembryoplastic neuroepithelial tumor;disease has feature;structural epilepsy
Lenz-Majewski hyperostotic dwarfism;disease has feature;Increased bone mineral density
hereditary intrinsic factor deficiency;disease has feature;Megaloblastic anemia
chikungunya;disease has feature;Skin rash
chikungunya;disease has feature;exanthem
sialidosis type 2;disease has feature;nephrosis
Peutz-Jeghers syndrome;disease has feature;Peutz-Jeghers polyp
Peutz-Jeghers syndrome;disease has feature;hyperpigmentation of the skin
stiff-person syndrome;disease has feature;Rigidity
familial hemiplegic migraine;disease has feature;Hemiparesis
familial hemiplegic migraine;disease has feature;Confusion
familial hemiplegic migraine;disease has feature;Muscle weakness
familial hemiplegic migraine;disease has feature;Drowsiness
Zollinger-Ellison syndrome;disease has feature;gastric ulcer
Zollinger-Ellison syndrome;disease has feature;pancreatic neuroendocrine tumor
Hartnup disease;disease has feature;Aminoaciduria
otospondylomegaepiphyseal dysplasia;disease has feature;Platyspondyly
hypochromic anemia;disease has feature;Hypochromic anemia
Bruck syndrome;disease has feature;Reduced bone mineral density
tricuspid valve stenosis;disease has feature;Mitral stenosis
tricuspid valve stenosis;disease has feature;Endocardial fibrosis
tricuspid valve stenosis;disease has feature;Endocarditis
Crimean-Congo hemorrhagic fever;disease has feature;Jaundice
Crimean-Congo hemorrhagic fever;disease has feature;Petechiae
Crimean-Congo hemorrhagic fever;disease has feature;Arthralgia
Crimean-Congo hemorrhagic fever;disease has feature;Back pain
amyotrophic lateral sclerosis-parkinsonism-dementia complex;disease has feature;Dementia
amyotrophic lateral sclerosis-parkinsonism-dementia complex;disease has feature;Parkinsonism
amyotrophic lateral sclerosis-parkinsonism-dementia complex;disease has feature;amyotrophic lateral sclerosis
autosomal dominant cerebellar ataxia;disease has feature;Spinocerebellar tract degeneration
Zika virus congenital syndrome;disease has feature;Microcephaly
Leigh syndrome;disease has feature;Strabismus
orbital cancer;disease has feature;Proptosis
Netherton syndrome;disease has feature;Abnormal eyelash morphology
Netherton syndrome;disease has feature;Abnormal eyebrow morphology
osteopetrosis;disease has feature;Increased bone mineral density
Cockayne syndrome;disease has feature;Cutaneous photosensitivity
Cockayne syndrome;disease has feature;Growth delay
posterior leukoencephalopathy syndrome;disease has feature;Leukoencephalopathy
staphylococcal scalded skin syndrome;disease has feature;Irritability
staphylococcal scalded skin syndrome;disease has feature;Erythema
tonsillitis;disease has feature;Recurrent tonsillitis
autosomal recessive amelia;disease has feature;Amelia
Oguchi disease;disease has feature;Mizuo phenomenon
COVID-19;disease has feature;Anosmia
COVID-19;disease has feature;Ageusia
Wildervanck syndrome;disease has feature;Klippel-Feil syndrome
Sturge-Weber syndrome;disease has feature;Abnormality of the eye
pericardial tuberculosis;disease has feature;Pericardial effusion
pericardial tuberculosis;disease has feature;Pericardial constriction
Bruton-type agammaglobulinemia;disease has feature;Immunodeficiency
lepromatous leprosy;disease has feature;Alopecia
lepromatous leprosy;disease has feature;Somatic sensory dysfunction
foix chavany Marie syndrome;disease has feature;facial paralysis
myelophthisic anemia;disease has feature;Anemia
HER2 positive breast carcinoma;disease has feature;HER2/Neu Positive
livedoid vasculopathy;disease has feature;Purpura
HIV-associated nephropathy;disease has feature;kidney disorder
maternally-inherited progressive external ophthalmoplegia;disease has feature;Strabismus
cystic kidney disease;disease has feature;Renal cyst
hemophagocytic syndrome;disease has feature;Hepatosplenomegaly
hemophagocytic syndrome;disease has feature;Pancytopenia
hemophagocytic syndrome;disease has feature;Lymphadenopathy
orofaciodigital syndrome;disease has feature;Polycystic kidney dysplasia
dengue disease;disease has feature;Vomiting
dengue disease;disease has feature;Headache
HIV-associated cancer;disease has feature;cancer
spastic hemiplegia;disease has feature;hemiplegia
